Post Shortcode,Commenter Username,Comment Text
C1SSUZHt8iI,hakuna.matata888999,"pse vetem One? Edhe Vodafone. Te dyja keto kompani, mbrohen nga qeveria, mediave u mbyllin gojen me reklama."
C1SSUZHt8iI,dedjamorel,Kur lejon te hyjn qen dhe gomer keto do kesh rezultate
C1SSUZHt8iI,itserjoon,Rip un qe kam one jam per qef ofert pa limit po n tel kam 0 lek😂😂😂
C1SSUZHt8iI,el.zhakking,"U mbyll kompania one eh, me plasi bytha une pi fanta"
C1SSUZHt8iI,eno_zena,Me trashegime dhe ne dasem te tjetrit
C1SSUZHt8iI,ervisamiraka,😂😂😂😂
C1SSUZHt8iI,nakoflorenc,Ti rrojn ca ka len mbrapa😢
C1SSUZHt8iI,unmm1230,Hajt n pidh t Sams shkofshin mosbu ktheshin ma rradhen e ka vodafoni😂
C1SSUZHt8iI,paulin_berisha_7777,Ku esht spaku ja qifsha grun 😂😂
C1SSUZHt8iI,aizentani,🔥🔥🔥🔥🔥🔥🔥🔥
C1SSUZHt8iI,gliton_dibra,😂😂😂
C1SSUZHt8iI,imej_imeje,Npidh te somes shkoft kopani hajdutash ishalla e mbyllin krejt se na cau trapin
C1SSUZHt8iI,helion.prime,Klienti qe i ka mbaruar oferta me date 23…
C1SSUZHt8iI,veizianila,"Haaaa, po shpallin vete falimentimin se mbaruan pune ne Shqiperi."
C1SSUZHt8iI,dervishiarban,😂😂😍😂🤪😜Piramide Company
C1SSUZHt8iI,alb_aniansgirl,"Sja paskan paguar gjoben JOQ kta me duket , se nuk ka mundesi ti vihen nje biznesi kaq shum . Une njoh shume njerez qe perdorin Kete kompani dhe skan patur probleme. Ju keni 3 muaj me kte mhb cdo dite"
C1SSUZHt8iI,fatjon_hoxha06,E dim qe vjedhin por te dini qe vodafoni esht me keq se kta dhe po qe se mbetet vetem vodafoni pa asnje konkurenc ne treg ta dini qe do na rjepi me keq
C1SSUZHt8iI,feta_bego,Ishalla i merr dhe kto qeveritarët tonë nga mbrapa.👍
C1SSUZHt8iI,steel_and_wood.al,Faleminderit skeptikë…
C1SSUZHt8iI,kadri.shehu.5,🙌🙌🙌
C1SSUZHt8iI,jetasallcini,I shkofte nga pas Vodafone
C1SSUZHt8iI,b_koloshi,😂
C1SSUZHt8iI,f_r_e_d_o_____,😂
C1SSUZHt8iI,omertaomerta9386,Ishalla terheq kemben zvarre megjithe vidafone
C1SSUZHt8iI,marjolitheb3st,Lufta Sapo Ka Nisur
C1SSUZHt8iI,mirdalmece,Te dyja kompanit lesht jan ...po he ...mjer populli qe po i mjelin si lop skan turp skan
C1SSUZHt8iI,ashulku,Ne grope  te shkojen te dy kompanit se e repen ket popull pa be data oferta ta mbillin 4 dit para
C1SSUZHt8iI,almirpronjari,😢
C1SSUZHt8iI,call_me_keisi,Ne të ONE a kemi internet pa limit tash a?
C1SSUZHt8iI,melissameli415,Kompani qe na ropen nga leket 😂😂
C1SSUZHt8iI,ma_drid4832,Akoma ka kara si shkojn mas jush
C1SSUZHt8iI,ada_7151,😂😂
C1SSUZHt8iI,t_a_n_i_oo7,Hahahahaha 😂😂😂😂😂
C1SSUZHt8iI,tirana_qe_duam,Prit lajme te tilla nga @vodafonealbania
C1SSUZHt8iI,reitan_albania,😂
C1SSUZHt8iI,jolandadena,Ja fusni kot se këta na vodhen me këtë emër e falimentojne e pastaj i vendosin emër tjetër e vazhdojne na vjedhin.
C1SSUZHt8iI,burgaj.hajrije,Qoshi vet
C1SSUZHt8iI,genticekici,Faky one
C1SSUZHt8iI,hasanhysa74,Sa ma thell ti behet gropa qe te mos dali me !
C1SSUZHt8iI,llambi_kristollari,Follow me
C1SSUZHt8iI,_.ildaamucaa01._,Na hapet barkun
C1SSUZHt8iI,nansnssnmsmsnsn,😂
C1SSUZHt8iI,b89.miri,"Ky qe po gezon qenka Vodafoni, ne pritje ti ritet klientela"
C1SSUZHt8iI,lediaaf_,@marjus337 me at internetin me kontrat na ka hap at bark
C1SSUZHt8iI,shqip.frengjisht,"Watch this :

https://youtu.be/v81g1tldi4c?si=xF6UFoi9do96gPCD"
C1SSUZHt8iI,xhaxhi_daniel,😂😂😂😂
C1SSUZHt8iI,muhajmarenglen,Unë per vete numrin one me kontratë e kam 2 vjet dhe deri tani jam shumë i kënaqur 🙏🙏
C1SSUZHt8iI,jonas_voyages,"I lumt pushka, kur nuk ka shtet!"
C1AAIDNt2R_,gert.muler,"Me nje fjale qeka dy rq, bashke me Edvinin bohen 3 rq 💩💩💩"
C1AAIDNt2R_,tisportd6,Se paskemi ditur se Veliaj Junior qenka edhe me Tiger se Tigri i vjeter😂
C1AAIDNt2R_,violameli,👏👏👏
C1AAIDNt2R_,rionalazrep,Kafshata e madhe te ngec ne fyt gjithemone prisni 😢
C1AAIDNt2R_,stiliano_96,Nga shitja e fiqeve tek nje  nga njerzit me te pasur ne vend pa pasur kurr asnje biznes kjo ndodh vetem ne Shqiperi 😂😂
C1AAIDNt2R_,borisplaneti,"E paskan hajdutllikun ne familje,turp😢😢"
C1AAIDNt2R_,medail_k,Qakenjẽt janẽ vẽrsulur ta vjedhin e shkepin hartẽn e Shqipěris se nuk laně gjẽ pa ozoptuar mafja 33 vjeqare
C1AAIDNt2R_,arben_ristani,Se kan veliaji por Qyrku
C1AAIDNt2R_,leo.hysolli,Ku do me dit Altin Dumani per Veliaj
C1AAIDNt2R_,hermiona610,Popull i nenshtruar . I pelqen ta vjedhin ta poshterojne !
C1AAIDNt2R_,theronmisha,"Drejtesia nuk vihet duke u ankuar si kucke e vogel, mfal per shprehjen. Pastaj te duash drejtesi nuk eshte njesoj si te duash ate qe ka dikush tjeter."
C1AAIDNt2R_,_3rina__,Njeri me VK se  tjetri...
C1AAIDNt2R_,rerent_saranda,ksaj i thone krah t ngrohta😂
C1AAIDNt2R_,lol909sa,Cna ka gjet neve me kta
C1AAIDNt2R_,era_aaal,Nuk i shikoj dot ropqirat ju qift qeni rropt
C1AAIDNt2R_,fericlelmani,Ilaqe blefshin me ato leke
C1AAIDNt2R_,bledinballo,Lali dhjEri i ngjan babit Bio...ndersa *vllai* babit te shqiperise 😂😂 doçerit e Ponjes
C1AAIDNt2R_,_lone_wolf_howling,1 ftyr ropqire kan te dy vetem se lali ka gruan qe e nderon
C1AAIDNt2R_,j_life_free,Une e kam patur ne klase. Ka qene djal shume i zgjuar por qe ne shkolle ka qene me mik. E ema punonte tek fondacioni Soros. Kjo i tregon te gjitha. Jane rritur pa baba dhe kane qene shume te varfer. Turp se si mund te shitet njeriu.
C1AAIDNt2R_,muvahid949,🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺 o budallenj jeni ju qe votoni pastaj e shani.
C1AAIDNt2R_,piktura_murale__,"Skemat po ju  dalin por asgje nuk po ndodh, me duket kemi krijuar imunitet nga keto lajme, po na duken gjera normale😂."
C1AAIDNt2R_,mifraolus,U shoftë fara e qelbur Velia
C1AAIDNt2R_,silellokuda,"Janë gojorsat që bëjnë Pipo çdo mëngjes për një rrogë lëmoshë, që i mban në pushtet këto fundërrina."
C1AAIDNt2R_,gonigram,"Dikur beheshin thirrje dhe viheshin parrulla neper mure “poshte fashizmi” e “poshte tradhetaret” e “poshte Duçe”, etj etj si keto. Kush e kishte mendu qe TASH ka ardh KOHA me shkrujt neper mure “Poshte SOCIAL-FASHISTET SHQIPATARE”, “Poshte Rilindasit” dhe me e bukura “Poshte piktori” ose “Poshte Edi Rama”. Ne djall te shkoje kjo menxyre, qe po mbulon perfundimisht hapesirat shqiptare."
C1AAIDNt2R_,ckem.iiii,Ne gjith kete histori ajo qe me ben per te qeshur esht syri i modifikuar i Edi Rames 😂😂😂😂😂😂
C1AAIDNt2R_,beniparkut,"2 te pa fytyre qe tallin bythen me miletin.  Mos u habitni,te tille jemi qd i durojme"
C1AAIDNt2R_,brixhilda.354,"Mit e kan, kur kan gjet kte popull plere, komunist, pak bile po bejne, prandaj po ikin njerezit nga ky vend, se nuk rihet me komunistet, hajdute,."
C1AAIDNt2R_,ameljo_gjata,A ju qifa ropt  sngrihet njer pupulli tju qij ropt n goj mir ju po tja u perdhenoj e grat live
C1AAIDNt2R_,ncenaj808,Prerje  ropshkerdhimi paska dhe ky
C1AAIDNt2R_,skiskebkflld,Ju do marr me vete u qifsha grate
C1AAIDNt2R_,ingbesi,Kur do ta varin prej koqesh ket pederastin
C1AAIDNt2R_,artanmusabelliu,Prit prit skeni par gje akoma.
C1AAIDNt2R_,geni.karaj.108,Kush duhet ti😮 hetoj kto vlla
C1AAIDNt2R_,flamur.kurti.545,Po si nuk ngjasokan fare për vllezër
C1AAIDNt2R_,isufteqja,i hegt kolerja
C1AAIDNt2R_,afterschool_re.re,"Ehh, nuk keni marrë vesh gjë akoma…..ne rrimë flasim nëpër kafe e fb dhe flemë pa bukë në darkë se nuk kemi të ushqehemi.🥲"
C1AAIDNt2R_,_photography_photo__,"Le te bejne feste, le te ja pijne gjakun ketij populli, vetem komentojne dhe i votojne vete, popullit me keq tja bejne."
C1AAIDNt2R_,tomi_zdrava,Tja qish motrat
C1AAIDNt2R_,8888k8888b,"A thu ka nevoj me i vjedh popullit Veliaj, kur vetem per 1 leje pallati ntiron imagjino se sa lek ‘kafe’ mund tmari🤦🏻‍♂️"
C1AAIDNt2R_,dedjamajlinda,"Fare qe duhet shuar kta..se po ju marrin frymen o popull..si nuk e kuptoni qe po ju vrasin pake e nga pake, ca beni ore ca beni pse nuk coheni ti hiqni qafesh kta gjak pirsa, vdekur per vdekur..te pakten vdisni per te drejtat e juaja"
C1AAIDNt2R_,mozarrethi1,Dy zdromsat e Tiranes.Dy surrat kriminelat e Tiranes .O tironsa ku jeni more pse si hidhni poshte siç hodhet bustin ku e keni burrerrine
C1AAIDNt2R_,drilonsh,Investigativ = hulumtues
C1AAIDNt2R_,ledjana_kajmaku,Kush e lexo kte qe kam shkruit un esht pederast dhe e ka vrimen e bythes lejla
C1AAIDNt2R_,dritanmyrta,Ku jan ata tru shpëlarët që kujtuan se do vinin për të bërë mirë për popullin?megjithate duhet një dreq ligji që më shumë se një mandat mos të kenë të drejtë .
C1AAIDNt2R_,rebar.has,
C1AAIDNt2R_,rebar.has,
C1AAIDNt2R_,rebar.has,
C1AAIDNt2R_,genti.go26,Po kshu esht kur ne si popull nuk zgjohena
C1AAIDNt2R_,lindur_pertvdekur,Edhe me e keqja eshte se skan per te ik asiher opozita ka ngel vetem ne funderrina 🤣🤣🤣
C1AAIDNt2R_,happpyyyy009,"kur i madhi shiste fiq, ky ca shiste ?"
C1AAIDNt2R_,jonas_voyages,Kaq mendoni se dini!
C1AAIDNt2R_,peza.ingrid,Avash avash ....
C0QpqZ4tXOt,flavito_,"e di kush osh problemi ma i modh?? qe sot me shume vemendje merr ai qe vishet me flamur, sesa ai qe mundet me vdek per flamur."
C0QpqZ4tXOt,soni.laza,Na kane ardhur do i shkojme se turp😂
C0QpqZ4tXOt,palkolafamily,Ca na bane moj Marianne te thashin dy kraht. 😂😂. Na fute ne tension me Drekun 😂😂😂 Une jam kurioze keto xhaketat kush Ja ka dhane Drekut 😂🧐😂😂
C0QpqZ4tXOt,altin_tufa,"Sa leke jane hedh qe ta veshi? Kot, pyetje nga publiku"
C0QpqZ4tXOt,kelbarjami,Na ka respektuar do ta respektojm
C0QpqZ4tXOt,brilantina_art,Wa patrioti im nga Lezha Drake 😍  Sa shpejt e mori veten ky shejton 😅😅
C0QpqZ4tXOt,hoxha_enxhii,Jeni içik ne vones ka nja 10 or si lajm😂
C0QpqZ4tXOt,__tea.l.__,"Po ky cpati , nga i erdhi kshu 🤔😂"
C0QpqZ4tXOt,mara_kleia,😍🙌
C0QpqZ4tXOt,fabio____133,"E njoh shum mir, gjyshi i drakes esht me origjin nga fieri, gjyshi u drakes ka punuar traktorist ne fier deri ne 87 e pstj kan emigruan ne amerik gjyshi i tij bashk me niprit nga i vellai"
C0QpqZ4tXOt,jett_alliu,Po nga lezha dhe ky 😂😂😂
C0QpqZ4tXOt,paulin.mardodaj,cfar fati
C0QpqZ4tXOt,drita.1959,Ky esht nje rrespekt qe po ja ben shqiptareve👏👏
C0QpqZ4tXOt,il_zona,Ja ka lyp rites ky e sja ka lan ajo ..
C0QpqZ4tXOt,lyon_milan,Dashka me nxane Dua Lipen me duket
C0QpqZ4tXOt,ion__daci,He knows about marketing edhe ne e kena honger
C0QpqZ4tXOt,eliimonaco,🔥❤️❤️❤️
C0QpqZ4tXOt,erglzi,Dritan Drejkollari on top🦇
C0QpqZ4tXOt,rushanklod,Do tmari klikime nga shqiptaret prandaj e ka bo ket kongen 😂😂
C0QpqZ4tXOt,eljon.gjonaj,"""Iiii ca katunari , ka vesh flamur"" !! Kështu na bullizonin kur ishim të vegjel në shkolle fillore apo kur donim të dilnim rrugve të veshur si heronjte tanë që dhanë jetën për kte flamur ,prandaj na është zbehur kjo ndjenja e patriotizmit.."
C0QpqZ4tXOt,giulio.asllani,Ky ësht Shqiptarë (nga Belshi)
C0QpqZ4tXOt,mati.durres,Se mos na del dhe ku shqiptar 😂
C0QpqZ4tXOt,susi_sll,@kelmendibesi
C0QpqZ4tXOt,egzonavdiaj,ta marri  vesh bota qe SHQIPET jan tfort ... Hallall Drake 🇦🇱
C0QpqZ4tXOt,muqi.94,
C0QpqZ4tXOt,kristi_vesho,E ka ber per ti rene ne sy marianes
C0QpqZ4tXOt,elvispopa,Falenderimet I takojn Marianes qe I paska hap kamt per xakun
C0QpqZ4tXOt,mateossulo,DREJKU from Lezha
C0QpqZ4tXOt,leila_bouch,Drake:”SERBI TE Q***** MOTREN”.
C0QpqZ4tXOt,amelda_hamzaj,Cudia 3 dit zgjat 😂
C0QpqZ4tXOt,nja_pri_rresheni,po pra na plasi kari qanka ba nami shkoni mor kope injorantash
C0QpqZ4tXOt,memss12,Na plasi kari
C0QpqZ4tXOt,arben_ristani,E ka ber si burrat
C0QpqZ4tXOt,its_mata90,prisni komentet nga serbet tani 😂picu mater provokacija😂
C0QpqZ4tXOt,rei_90,Tashi i tham fukarallikut ik pirdhu se kte kishim problemin me te madh te kombit 🤣🤣🤣 ore Drake o shejtan
C0QpqZ4tXOt,denis_capa,Bota e do Shqipërinë po ne jemi ata qe sdum  njeri  tjetrin
C0QpqZ4tXOt,erjon.selimi87,Filluan pashaportat e para shqipetare per zezaket.hahahah
C0QpqZ4tXOt,shpati.saimir,U bo trend me qen shqiptar
C0QpqZ4tXOt,priamllalla,Drake pranon origjinen nga Lezhq
C0QpqZ4tXOt,closed.20241,Ka mar vesh qe do vijne kushurinjt e vetë ne Lezhë 😢
C0QpqZ4tXOt,liqii_18,@m.t.j.kv ❤️🙌🔥
C0QpqZ4tXOt,bledinballo,Te pakten ta shohin shurrot e Evropes dhe qafkuqet e Anglise
C0QpqZ4tXOt,gjovi_peqi,Provokacjaaa 😂😂😂😂😂
C0QpqZ4tXOt,andyduraj,Aman  vetëm Mos na e nxirrni me origjinë shqiptare
